"age_at_death","birth_date","died","eva_count","eva_duration","fai_flight_count","fai_flight_duration","flown","name","nationality","non_fai_flight_count","non_fai_flight_duration","selection_group","significant_flight_count","significant_flight_duration","status"
"","1957-04-30","","0","","1","10d 22h 9m 50s","False","Duane G.  Carey""Digger ""","American","0","","NASA Group 16","0","","Retired"
"","1928-03-25","","3","5h 36m","4","29d 19h 5m 55s","False","James Arthur Lovell, Jr.""Jim ""","American","0","","NASA Group 2","0","","Retired"
"41.6","1961-07-01","2003-02-01","0","","2","31d 14h 54m 26s","False","Kalpana   Chawla""KC ""","American","0","","NASA Group 15","0","","Deceased"
"43.6","1947-08-15","1991-04-05","0","","1","5d 6m 48s","False","Manly Lanier Carter, Jr.""Sonny ""","American","0","","NASA Group 10","0","","Deceased"
"","1946-08-24","","0","","4","33d 21h 30m 13s","False","Richard Noel Richards""Dick ""","American","0","","NASA Group 9","0","","Retired"
"","1951-06-27","","0","","2","20d 8h 3m 50s","False","Sidney McNeil Gutierrez""Sid ""","American","0","","NASA Group 10","0","","Retired"
"","1933-05-19","","0","","0","","False","James Alan Abrahamson","American","0","","USAF MOL Group 3","0","","Retired"
"","1967-05-17","","3","19h 46m","3","306d 35m 8s","False","Joseph M. Acaba","American","0","","NASA Group 19","0","","Active"
"","1936-03-07","","0","","1","7d 22h 45m 26s","False","Loren Wilbur Acton","American","0","","","0","","Retired"
"","1970-10-04","","0","","0","","False","Nadezhda Ivanyeva Adamchuk","Ukrainian","0","","Ukraine Group","0","","Retired"
"37.5","1930-05-05","1967-11-15","0","","0","","False","Michael James Adams","American","1","4m 50s","USAF MOL Group 1","6","51m 56s","Deceased"
"","1946-03-03","","0","","2","13d 22h 21m 34s","False","James Craig Adamson","American","0","","NASA Group 10","0","","Retired"
"","1948-12-31","","7","1d 14h 33m","4","555d 18h 33m 52s","False","Viktor M. Afanasyev","Russian","0","","Buran Group 2","0","","Retired"
"","1972-07-27","","0","","1","9d 20h 13m 53s","False","Aydyn Akanovich Aimbetov","Kazakh","0","","Kazakhstan Group","0","","Active"
