"Type", "Manned?", "Objective", "Amount of LEVA", "Apollo mission", "Description"
"A", "no", "Low earth orbit", "0", "Apollo 4, Apollo 6", "Saturn V and CSM test"
"B", "no", "Low earth orbit", "0", "Apollo 5", "LM test"
"C", "yes", "Low earth orbit", "0", "Apollo 7", "CSM test"
"D", "yes", "Low earth orbit", "0", "Apollo 8 planned, Apollo 9 flew", "CSM and LM test"
"E", "yes", "Medium earth orbit", "0", "no flight", "CSM and LM test, simulated Moon mission in elliptical MEO orbit apogee 3,500 NM (6,500 km)"
"F", "yes", "Low earth orbit", "0", "Apollo 10", "CSM and LM test, general attempt before landing"
"G", "yes", "Landing on the Moon", "1", "Apollo 11", "The first manned landing on the Moon"
"H", "yes", "Stay on the Moon for 2 days", "2", "Apollo 12, Apollo 13 (planned), Apollo 14", "Precise landing"
"I", "yes", "Stay on the Moon for 2 days", "3", "Merged with J missions", "studies on orbit of the Moon, Scientific Instrument Module"
"J", "yes", "Stay on the Moon for 3 days", "3", "Apollo 15 (planned H, change for na J), Apollo 16, Apollo 17, Apollo 18, 19, 20 (planned as J)", "Extended LM, Lunar Roving Vehicle"
