"First name and last name", "Service", "Date of birth", "Age", "Mission", "Funktion"
"Virgil I. Gus Grissom", "Air Force", "1926-04-03", "40y 9m 24d", "Apollo 1", "CMDR"
"Edward H. White", "Air Force", "1930-11-14", "36y 2m 13d", "Apollo 1", "Senior Pilot"
"Roger B. Chaffee", "Navy", "1935-02-15", "31y 11m 12d", "Apollo 1", "Pilot"
"Walter M. Schirra", "Navy", "1923-03-12", "45y 6m 29d", "Apollo 7", "CMDR"
"Donn F. Eisele", "Air Force", "1930-06-23", "38y 3m 18d", "Apollo 7", "CMP"
"Walter R. Cunningham", "Marines", "1932-03-16", "36y 6m 25d", "Apollo 7", "LMP"
"Frank Borman", "Air Force", "1928-03-14", "40y 9m 8d", "Apollo 8", "CMDR"
"Jim Lovell", "Navy", "1928-03-25", "40y 8m 27d", "Apollo 8", "CMP"
"Bill Anders", "Air Force", "1933-10-17", "35y 2m 5d", "Apollo 8", "LMP"
"James A. McDivitt", "Air Force", "1929-06-10", "39y 8m 22d", "Apollo 9", "CMDR"
"David R. Scott", "Air Force", "1932-06-06", "36y 8m 26d", "Apollo 9", "CMP"
"Russell L. Schweickart", "Air Force", "1935-10-25", "33y 4m 7d", "Apollo 9", "LMP"
"Tom Stafford", "Air Force", "1930-09-17", "38y 8m 2d", "Apollo 10", "CMDR"
"John Young", "Navy", "1930-09-24", "38y 7m 25d", "Apollo 10", "CMP"
"Eugene Cernan", "Navy", "1934-03-14", "35y 2m 5d", "Apollo 10", "LMP"
"Michael Collins", "Air Force", "1930-10-31", "38y 8m 17d", "Apollo 11", "CMP"
"Neil Armstrong", "NASA", "1930-08-05", "38y 11m 15d", "Apollo 11", "CMDR"
"Buzz Aldrin", "USAF", "1930-01-20", "39y 6m 0d", "Apollo 11", "LMP"
"Dick Gordon", "Navy", "1929-10-05", "40y 1m 10d", "Apollo 12", "CMP"
"Pete Conrad", "Navy", "1930-06-02", "39y 5m 17d", "Apollo 12", "CMDR"
"Alan Bean", "Navy", "1932-03-15", "37y 8m 4d", "Apollo 12", "LMP"
"Jim Lovell", "Navy", "1928-03-25", "42y 18d", "Apollo 13", "CMDR"
"Jack Swigert", "NASA", "1931-08-30", "38y 7m 13d", "Apollo 13", "CMP"
"Fred Haise", "NASA", "1933-11-14", "36y 4m 29d", "Apollo 13", "LMP"
"Stu Roosa", "Air Force", "1933-08-16", "37y 5m 16d", "Apollo 14", "CMP"
"Alan Shepard", "Navy", "1923-11-18", "47y 2m 18d", "Apollo 14", "CMDR"
"Edgar Mitchell", "Navy", "1930-09-17", "40y 4m 19d", "Apollo 14", "LMP"
"Al Worden", "Air Force", "1932-02-07", "39y 5m 20d", "Apollo 15", "CMP"
"David Scott", "Air Force", "1932-06-06", "39y 1m 25d", "Apollo 15", "CMDR"
"James Irwin", "Air Force", "1930-03-17", "41y 4m 14d", "Apollo 15", "LMP"
"Ken Mattingly", "Navy", "1936-03-17", "36y 1m", "Apollo 16", "CMP"
"John Young", "Navy", "1930-09-24", "41y 6m 28d", "Apollo 16", "CMDR"
"Charles Duke", "Air Force", "1935-10-03", "36y 6m 18d", "Apollo 16", "LMP"
"Ron Evans", "Navy", "1933-11-10", "39y 28d", "Apollo 17", "CMP"
"Eugene Cernan", "Navy", "1934-03-14", "38y 9m 7d", "Apollo 17", "CMDR"
"Harrison Schmitt", "NASA", "1935-07-03", "37y 5m 8d", "Apollo 17", "LMP"
