"Nazwa eksperymentu", "Jednostka zlecająca", "Zakres badania"
"Syrena", "Instytut Fizyki PAN", "badanie procesu narastania kryształów Hg, Cd, Te w warunkach braku ciążenia"
"Smak", "WIML", "badanie odczuć smakowych w warunkach nieważkości"
"Relaks", "WIML", "badanie efektywności różnego rodzaju rozrywek w warunkach lotu kosmicznego"
"Kardiolider", "WIML", "badanie funkcjonowania serca w czasie pracy kosmonauty na statku kosmicznym"
"Zdrowie", "WIML", "określenie za pomocą aparatury 'Fizjotest' wydolności fizycznej kosmonauty bezpośrednio przed startem i po wylądowaniu"
"Test", "WIML", "badanie aspektów psychologicznych adaptacji załogi do warunków lotu kosmicznego"
"Ciepło", "WIML", "badanie procesu wymiany ciepła organizmu z otoczeniem w warunkach braku ciążenia"
"Ziemia", "IGiK", "fotografowanie powierzchni Ziemi (lądów i wód) w celu badania jej zasobów"
"Zorza", "CBK", "obserwacja zórz polarnych"
"Czajka", "b/d", "badanie neutralizacji wpływu braku ciążenia na układ krwionośny przez zastosowanie specjalnego kombinezonu, przygotowanego przez specjalistów radzieckich"
"Tlen", "b/d", "badanie przemian tlenu w organizmie w warunkach lotu kosmicznego"
