"Military rank", "First name and last name", "Age", "Flight into Space"
"Senior Lieutenant", "Ivan Anikeyev", "27", "no"
"Major", "Pavel Belyayev", "34", "yes"
"Senior Lieutenant", "Valentin Bondarenko", "23", "no"
"Senior Lieutenant", "Valery Bykovsky", "25", "yes"
"Senior Lieutenant", "Valentin Filatyev", "30", "no"
"Senior Lieutenant", "Yuri Gagarin", "25", "yes"
"Senior Lieutenant", "Viktor Gorbatko", "25", "no"
"Captain", "Anatoli Kartashov", "27", "no"
"Senior Lieutenant", "Yevgeny Khrunov", "26", "yes"
"Captain Engineer", "Vladimir Komarov", "32", "yes"
"Lieutenant", "Aleksei Leonov", "25", "yes"
"Senior Lieutenant", "Grigori Nelyubov", "25", "no"
"Senior Lieutenant", "Andrian Nikolayev", "30", "yes"
"Captain", "Pavel Popovich", "29", "yes"
"Senior Lieutenant", "Mars Rafikov", "26", "no"
"Senior Lieutenant", "Georgi Shonin", "24", "yes"
"Senior Lieutenant", "Gherman Titov", "24", "yes"
"Senior Lieutenant", "Valentin Varlamov", "25", "yes"
"Senior Lieutenant", "Boris Volynov", "25", "yes"
"Senior Lieutenant", "Dmitri Zaikin", "27", "no"
