"Selection", "Astronaut", "Service", "first flight", "Second flight"
"1 (Mercury)", "Gordon L., Cooper", "Air Force", "Gemini V", ""
"1 (Mercury)", "Virgil Gus Grissom", "Air Force", "Gemini III", ""
"1 (Mercury)", "Walter M. Schirra", "Navy", "Gemini VI-A", ""
"2 (Gemini)", "Neil A. Armstrong", "Civilian", "Gemini VIII", ""
"2 (Gemini)", "Frank Borman", "Air Force", "Gemini VII", ""
"2 (Gemini)", "Charles Pete Conrad", "Navy", "Gemini V", "Gemini XI"
"2 (Gemini)", "James A. Lovell", "Navy", "Gemini VII", "Gemini XII"
"2 (Gemini)", "James A. McDivitt", "Air Force", "Gemini IV", ""
"2 (Gemini)", "Thomas P. Stafford", "Air Force", "Gemini VI-A", "Gemini IX-A"
"2 (Gemini)", "Edward H. White II", "Air Force", "Gemini IV", ""
"2 (Gemini)", "John W. Young", "Navy", "Gemini III", "Gemini X"
"3 (Gemini)", "Edwin Buzz Aldrin", "Air Force", "Gemini XII", ""
"3 (Gemini)", "Eugene A. Cernan", "Navy", "Gemini IX-A", ""
"3 (Gemini)", "Michael Collins", "Air Force", "Gemini X", ""
"3 (Gemini)", "Richard F. Gordon", "Navy", "Gemini XI", ""
"3 (Gemini)", "David R. Scott", "Air Force", "Gemini VIII", ""
