"Agency", "Airplane", "Years of operation", "Airport", "ICAO code of the airport"
"CSA", "T-33", "1988-1992", "Ottawa International Airport", "KPCW"
"CSA", "Falcon 20", "od 1993", "Ottawa International Airport", "KPCW"
"Ecuadorian Civilian Space Agency", "T-39 Sabreliner", "from 2008", "Mariscal Sucre International Airport", "SEQM"
"ESA", "Caravelle", "1984 - 2014", "Bordeaux Airport", "LFBD"
"Novespace", "Airbus A300", "1984 - 2014", "Bordeaux Airport", "LFBD"
"Novespace", "Airbus A310", "od 2014", "Bordeaux Airport", "LFBD"
"Roscosmos", "Il-76K/Il-76MDK/Il-76MDK-II", "from 1981", "Chkalovsky airfield", "UUMU"
"Roscosmos", "MiG-15 UTI", "early years of the program", "Chkalovsky airfield", "UUMU"
"Roscosmos", "Tupolev TU-104A", "from 1981", "Chkalovsky airfield", "UUMU"
"NASA", "C-131 Samaritan", "1959", "Ellington Airport", "KEFD"
"NASA", "KC-135 Stratotankers", "1973-1995", "Ellington Airport", "KEFD"
"NASA", "McDonnell Douglas C-9B Skytrain II", "1995-1997", "Ellington Airport", "KEFD"
"Zero-G", "Boeing 727-200", "from 2004", "Arlington, Virginia", "b/d"
