"Year", "Group", "Name", "Comment"
"1959", "1", "The Mercury Seven"
"1962", "2", "The New Nine"
"1963", "3", "The Fourteen"
"1965", "4", "The Scientists"
"1966", "5", "The Original 19"
"1967", "6", "The Excess Eleven (XS-11)"
"1969", "7", "USAF MOL Transfer", "Astronauts selected from the Manned Orbiting Laboratory program"
"1978", "8", "Thirty-Five New Guys (TFNG)", "The first vintage with women"
"1980", "9", "19+80"
"1984", "10", "The Maggots"
"1985", "11", "n/d"
"1987", "12", "The GAFFers"
"1990", "13", "The Hairballs"
"1992", "14", "The Hogs"
"1994", "15", "The Flying Escargot"
"1996", "16", "The Sardines", "the largest selection to date - 35 NASA and 9 international candidates"
"1998", "17", "The Penguins"
"2000", "18", "The Bugs"
"2004", "19", "The Peacocks"
"2009", "20", "The Chumps"
"2013", "21", "The 8-Balls"
"2017", "12", "The Turtles"
"2021", "10", "NASA Group 23"
